city,state_id,county_name,population,density,zips
Huntsville,AL,Madison,309716,350,35801 35803 35802 35805 35806 35741 35824 35763 35757 35756 35810 35811 35816 35896 35762 35804 35807 35809 35814 35815 35893 35894 35895 35897 35899
Millerville,AL,Clay,205,11,35072 36251 36267
Coosada,AL,Elmore,1283,71,36054 36020
Vredenburgh,AL,Monroe,290,74,36481
Garden City,AL,Cullman,499,64,35077 35070
Pleasant Groves,AL,Jackson,407,43,35776
Deer Park,AL,Washington,81,10,36584 36529
Baileyton,AL,Cullman,622,45,35019
Fort Deposit,AL,Lowndes,1186,80,36032
Eclectic,AL,Elmore,1020,95,36024
Samson,AL,Geneva,1887,201,36477
Powell,AL,DeKalb,965,75,35986 35971
Columbia,AL,Houston,730,71,36319
Hollins,AL,Clay,905,29,35072
Sardis City,AL,Etowah,1796,88,35956
Killen,AL,Lauderdale,972,185,35645
Shiloh,AL,DeKalb,278,62,35986
Semmes,AL,Mobile,4934,181,36613 36575
Riverside,AL,St. Clair,2294,102,35135 35125
Wedowee,AL,Randolph,799,88,36278
Megargel,AL,Monroe,13,7,36445
Lookout Mountain,AL,Etowah,1721,43,35904
Lincoln,AL,Talladega,6664,102,35160 35096
Frisco City,AL,Monroe,1190,114,36445
Goodwater,AL,Coosa,1330,79,35072
Stevenson,AL,Jackson,1961,98,35772
Woodville,AL,Jackson,720,41,35776
Cleveland,AL,Blount,1308,64,35049 35121
Pollard,AL,Escambia,133,46,36441
Union Springs,AL,Bullock,4734,206,36089
Millbrook,AL,Elmore,15318,452,36054 36022
White Hall,AL,Lowndes,779,19,36785 36752 36040
Ashland,AL,Clay,1932,101,36251
Greensboro,AL,Hale,2314,375,36744
Catherine,AL,Wilcox,20,3,36728
Talladega,AL,Talladega,13277,233,35160 35161
Camden,AL,Wilcox,1845,170,36726
Blue Springs,AL,Barbour,87,11,36374 36017
Tidmore Bend,AL,Etowah,1303,52,35901
Belle Fontaine,AL,Mobile,581,144,36582
Springville,AL,St. Clair,2879,183,35146
Memphis,AL,Pickens,28,27,35442
Camp Hill,AL,Tallapoosa,964,41,36850
Trafford,AL,Jefferson,630,99,35180 35172
Spring Garden,AL,Cherokee,209,35,36272 36275
Geiger,AL,Sumter,154,62,35459
Hammondville,AL,DeKalb,490,38,35989
Epes,AL,Sumter,172,10,35460
Gallant,AL,Etowah,604,16,35972
Coaling,AL,Tuscaloosa,1660,127,35453 35449
Margaret,AL,St. Clair,4813,189,35112 35120
North Johns,AL,Jefferson,141,267,35006
Mooresville,AL,Limestone,59,191,35649
McDougal,AR,Clay,171,177,72456 72441 72422
McAlmont,AR,Pulaski,1704,423,72117
Paris,AR,Logan,3020,275,72855
Crawfordsville,AR,Crittenden,467,322,72327
Gravette,AR,Benton,3304,83,72739 72736
Dell,AR,Mississippi,196,50,72426 72315
Lead Hill,AR,Boone,268,162,72644 72643
Tontitown,AR,Washington,3715,80,72762 72770
Waldo,AR,Columbia,1283,212,71770
Judsonia,AR,White,1992,267,72081
Edmondson,AR,Crittenden,399,48,72376 72332
Bald Knob,AR,White,2502,224,72010
Cherokee Village,AR,Sharp,3422,87,72529
Alpena,AR,Boone,398,116,72611
McRae,AR,White,667,382,72102
Cherry Valley,AR,Cross,600,265,72324
Pineville,AR,Izard,229,48,72519 72566
Midway,AR,Hot Spring,386,42,71941
Marianna,AR,Lee,3301,381,72360
Brinkley,AR,Monroe,2152,184,72021
Barling,AR,Sebastian,4935,186,72941 72923
Parkin,AR,Cross,1017,153,72373
Cale,AR,Nevada,70,27,71858
Ward,AR,Lonoke,5117,477,72007 72176
Sparkman,AR,Dallas,400,119,71763
Burdette,AR,Mississippi,172,91,72321 72358
Briarcliff,AR,Baxter,231,40,72653
College Station,AR,Pulaski,589,217,72206 72053
McNeil,AR,Columbia,479,145,71752
Winslow,AR,Washington,423,90,72959
Bethel Heights,AR,Benton,2762,482,72764
Bella Vista,AR,Benton,28511,243,72714 72715
Charleston,AR,Franklin,2463,229,72933
Gillett,AR,Arkansas,690,267,72055
Des Arc,AR,Prairie,1630,299,72040
Patmos,AR,Hempstead,63,218,71801
London,AR,Pope,1051,128,72847 72802
Rockport,AR,Hot Spring,759,85,72104
Wilton,AR,Little River,353,106,71822 71865
Redfield,AR,Jefferson,1540,192,72132
Damascus,AR,Van Buren,374,78,72039
McGehee,AR,Desha,3533,222,71654
Greers Ferry,AR,Cleburne,858,46,72067
Wilmar,AR,Drew,498,125,71675
Horseshoe Lake,AR,Crittenden,275,692,72348
Heber Springs,AR,Cleburne,6181,313,72543 72545
Bono,AR,Craighead,2379,337,72416
Lake Village,AR,Chicot,2338,355,71653
New Edinburg,AR,Cleveland,455,56,71660
Ben Lomond,AR,Sevier,144,14,71823 71846
Reader,AR,Ouachita,157,25,71857 71726
St. Joe,AR,Searcy,123,38,72675
Grady,AR,Lincoln,403,83,71644
