Geographic area,Area in square miles - Total area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
Mingo County,423.97,63.4,30
Monongalia County,365.88,267.1,120.1
Monroe County,473.64,28.6,16.1
Morgan County,229.61,76.6,42.6
Nicholas County,654.41,40.6,20.2
Ohio County,109.02,420,200.1
Pendleton County,698.15,11.1,7.4
Pleasants County,134.55,58.5,26.1
Pocahontas County,941.82,9.3,9.4
Preston County,651.39,51.7,23.3
Putnam County,350.4,160.5,67.8
Raleigh County,609.35,130.3,59.4
Randolph County,1039.95,28.3,13.6
Ritchie County,453.7,23.1,12.9
Roane County,483.72,30.9,15.2
Summers County,367.73,38.6,21.3
Taylor County,175.68,97.8,43.6
Tucker County,421.06,17,12.8
Tyler County,260.7,35.9,19.5
Upshur County,354.75,68.4,31.3
Wayne County,512.11,84,38
Webster County,556.23,16.5,9.8
Wetzel County,361.33,46.3,22.8
Wirt County,234.77,24.6,13.9
Wood County,376.77,237.4,109.8
Wyoming County,501.82,47.6,21.9
Wisconsin,65496.38,105,48.5
Adams County,688.55,32.3,27
Ashland County,2292.38,15.5,9.2
Barron County,889.76,53.2,27.4
Bayfield County,2041.67,10.2,8.8
Brown County,615.71,468.2,197
Buffalo County,709.59,20.2,9.9
Burnett County,880.23,18.8,18.6
Calumet County,397.08,153.9,61.9
Chippewa County,1041.28,61.9,27
Clark County,1218.79,28.7,12.5
Columbia County,795.97,74.2,34.1
Crawford County,599.21,29.2,15.4
Dane County,1238.25,407.7,180.4
Dodge County,907.05,101.4,42.3
Door County,2370.25,57.6,49.7
Douglas County,1479.68,33.9,17.5
Dunn County,863.87,51.6,21.1
Eau Claire County,645.25,154.8,66.1
Florence County,497.52,9.1,9.8
Fond du Lac County,765.84,141.2,61
Forest County,1046.33,9.2,8.8
Grant County,1183.34,44.7,18.8
Green County,584.46,63.1,27.2
Green Lake County,380.3,54.5,30.4
Iowa County,767.93,31.1,14.1
Iron County,919.16,7.8,7.9
Jackson County,1000.28,20.7,9.8
Jefferson County,582.74,150.4,63.2
Juneau County,804.03,34.8,19.1
Kenosha County,754.02,611.9,254.7
Kewaunee County,1084.3,60.1,27.2
La Crosse County,479.93,253.8,107.2
Lafayette County,634.57,26.6,11.4
Langlade County,887.88,22.9,14.2
Lincoln County,907,32.7,19.1
Manitowoc County,1494.08,138.3,63.1
Marathon County,1576.31,86.8,37.4
Marinette County,1550.01,29.8,21.7
Marquette County,464.3,33.8,21.7
Menominee County,364.96,11.8,6.3
Milwaukee County,1189.54,3926,1731.8
Monroe County,908.22,49.6,21.3
Oconto County,1148.79,37.7,23.6
Oneida County,1235.99,32.3,27.1
Outagamie County,644.59,277.2,114.7
Ozaukee County,1116.2,370.7,155.6
Pepin County,248.69,32.2,15.4
Pierce County,591.87,71.5,28.1
Polk County,956.41,48.4,26.5
Portage County,822.66,87.4,37.5
Price County,1278.42,11.3,8.9
Racine County,792.12,587.7,247.1
Richland County,589.3,30.7,15.1
Rock County,726.11,223.3,95.3
Rusk County,930.88,16.2,9.7
St. Croix County,735.68,116.8,47
Sauk County,848.62,74.6,35.8
Sawyer County,1350.27,13.2,12.7
Shawano County,909.47,47,23.2
Sheboygan County,1271.22,225.9,99.3
Taylor County,984.42,21.2,10.9
Trempealeau County,741.99,39.3,17.2
Vernon County,816.41,37.6,17.3
Vilas County,1017.84,25,29.3
Walworth County,576.56,184.2,92.8
Washburn County,853.32,20,16.3
Washington County,435.72,306.2,127
Waukesha County,580.6,709.4,292.7
Waupaca County,765.2,70.1,34
Waushara County,637.41,39.1,23.7
Winnebago County,578.57,384.3,168.8
Wood County,809.44,94.2,43
Wyoming,97813.01,5.8,2.7
Albany County,4308.79,8.5,4.2
Big Horn County,3158.89,3.7,1.7
Campbell County,4806.71,9.6,3.9
Carbon County,7963.99,2,1.1
Converse County,4265.07,3.3,1.5
Crook County,2865.3,2.5,1.3
Fremont County,9265.72,4.4,1.9
Goshen County,2232.18,6,2.7
Hot Springs County,2006.41,2.4,1.3
Johnson County,4174.6,2.1,1.1
Laramie County,2687.56,34.2,15.1
Lincoln County,4095.41,4.4,2.2
Natrona County,5375.66,14.1,6.3
Niobrara County,2627.96,0.9,0.5
Park County,6967.42,4.1,2
Platte County,2110.86,4.2,2.2
Sheridan County,2527.08,11.5,5.5
Sublette County,4935.71,2.1,1.2
Sweetwater County,10491.09,4.2,1.8
Teton County,4216.33,5.3,3.2
Uinta County,2087.57,10.1,4.2
Washakie County,2242.7,3.8,1.7
Weston County,2400.02,3,1.5
Puerto Rico,5324.84,1088.2,478.1
Adjuntas Municipio,67.1,292.1,121.8
Aguada Municipio,45.54,1360,591.8
Aguadilla Municipio,75.58,1668.5,778.3
Aguas Buenas Municipio,30.1,952.6,381.9
Aibonito Municipio,31.34,827.2,332.4
Añasco Municipio,44.93,744.8,324.7
Arecibo Municipio,171.19,765.7,343.4
Arroyo Municipio,35.65,1304.3,591.4
Barceloneta Municipio,30.92,1327.6,572
Barranquitas Municipio,34.28,885.1,332.9
Bayamón Municipio,44.51,4695.3,1941.6
Cabo Rojo Municipio,177.41,723.5,429.2
Caguas Municipio,59.07,2438.6,1030.3
Camuy Municipio,61.96,758.5,311.3
Canóvanas Municipio,33.01,1449.8,592.5
Carolina Municipio,60.32,3900.3,1761.7
Cataño Municipio,7.04,5808.6,2312.5
Cayey Municipio,51.96,926.5,403.1
Ceiba Municipio,158.83,469.5,267.1
Ciales Municipio,66.71,282.3,116.3
Cidra Municipio,36.46,1207.1,474.8
Coamo Municipio,78.03,519.3,214.3
Comerío Municipio,28.52,731.6,284.9
Corozal Municipio,42.58,872.4,328.8
Culebra Municipio,168.83,156.4,137.9
Dorado Municipio,53.71,1653,722.7
Fajardo Municipio,105.33,1238.7,649.3
Florida Municipio,15.22,833.7,337.8
Guánica Municipio,79.46,524.3,260.9
Guayama Municipio,106.82,698,303.3
Guayanilla Municipio,64.24,510.5,206.4
Guaynabo Municipio,27.76,3550.7,1523.4
Gurabo Municipio,28.31,1626.9,649.3
Hatillo Municipio,58.76,1004.1,415.6
Hormigueros Municipio,11.34,1520.6,686.1
Humacao Municipio,71.4,1306.4,627.9
Isabela Municipio,91.85,825.1,384.5
Jayuya Municipio,44.53,373.7,146.9
Juana Díaz Municipio,107.12,841.9,332.1
Juncos Municipio,26.62,1521,631.1
Lajas Municipio,101.13,429.6,206.8
Lares Municipio,61.64,500.5,210.8
Las Marías Municipio,46.51,213.1,86
Las Piedras Municipio,33.89,1141.5,479.6
Loíza Municipio,65.6,1552.2,655.2
Luquillo Municipio,46.53,777.5,424.9
Manatí Municipio,70.69,977.5,426.8
Maricao Municipio,36.63,171.4,74.8
Maunabo Municipio,38.27,580.3,263.3
Mayagüez Municipio,274.08,1147.3,551.5
Moca Municipio,50.37,796.7,333.7
Morovis Municipio,38.93,838.9,318.5
Naguabo Municipio,72.26,517.2,232.8
Naranjito Municipio,27.75,1109.5,411.7
Orocovis Municipio,63.78,368.2,145.5
Patillas Municipio,75.3,412.8,200.4
Peñuelas Municipio,67.86,544.2,206.6
Ponce Municipio,193.61,1449.3,606.7
Quebradillas Municipio,34.35,1142.7,474.1
Rincón Municipio,54.41,1063.8,678.5
Río Grande Municipio,89.53,895.8,400.8
Sabana Grande Municipio,35.84,705.1,305.8
Salinas Municipio,114.12,448,207.3
San Germán Municipio,54.51,651.9,292.1
San Juan Municipio,76.96,8262.3,4178.2
San Lorenzo Municipio,53.21,773.1,324.4
San Sebastián Municipio,71.22,602.5,265.5
Santa Isabel Municipio,76.94,684.1,281.4
Toa Alta Municipio,27.56,2741.5,999.6
Toa Baja Municipio,41.81,3855.7,1572.5
Trujillo Alto Municipio,21.38,3604.4,1459
Utuado Municipio,115.07,292,125
Vega Alta Municipio,37.5,1440.8,613.2
Vega Baja Municipio,68.18,1301.1,553.9
Vieques Municipio,263.99,183.2,109.1
Villalba Municipio,37.04,731.6,272.5
Yabucoa Municipio,83.24,687.2,286.1
Yauco Municipio,68.82,616.5,264.3
