Geographic area,Area in square miles - Total area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
Chatham County,632.26,621.7,279.8
Chattahoochee County,251.17,45.3,13.6
Chattooga County,313.56,83,35
Cherokee County,434.41,508.3,195.3
Clarke County,121.04,979.1,428.4
Clay County,217.23,16.3,10.8
Clayton County,144.33,1832.5,739.6
Clinch County,823.99,8.5,3.8
Cobb County,344.52,2026.4,843.7
Coffee County,602.65,73.7,29.7
Colquitt County,556.64,83.6,33.7
Columbia County,307.6,427.6,167.6
Cook County,233.2,75.8,32.1
Coweta County,445.82,288.8,113.8
Crawford County,326.45,38.9,16.3
Crisp County,280.95,86,39.4
Dade County,174.16,95.6,42
Dawson County,214.41,105.9,49.4
Decatur County,623.17,46.6,20.3
DeKalb County,271.14,2585.7,1139.7
Dodge County,503.11,44,19.9
Dooly County,397.28,38.1,16.1
Dougherty County,334.63,287.7,124.1
Douglas County,201.03,661.8,258.3
Early County,516.35,21.5,9.7
Echols County,420.72,9.7,3.8
Effingham County,482.93,109.4,41.6
Elbert County,374.22,57.4,27.3
Emanuel County,690.18,33.2,14.6
Evans County,186.87,60.2,25.5
Fannin County,391.96,61.2,41.9
Fayette County,199.32,548.3,209.9
Floyd County,518.47,188.9,79.5
Forsyth County,247.17,783.5,285.9
Franklin County,266.45,84.5,40.4
Fulton County,534.32,1748,830
Gilmer County,431.25,66.3,38.8
Glascock County,144.45,21.4,10.6
Glynn County,585.25,189.7,97
Gordon County,358.04,155.1,62.6
Grady County,460.26,55,23.7
Greene County,406.21,41.3,22.4
Gwinnett County,436.78,1871.2,677.4
Habersham County,279.03,155.5,65.6
Hall County,429.29,457.5,175.2
Hancock County,478.68,20,11.4
Haralson County,283.18,102,43.5
Harris County,472.96,69,28.9
Hart County,256.95,108.5,56
Heard County,301.09,40,17.4
Henry County,326.55,633,237.6
Houston County,379.92,372.5,155.3
Irwin County,362.76,26.9,11.4
Jackson County,343.1,178.1,69.9
Jasper County,373.46,37.8,16.7
Jeff Davis County,335.4,45.6,19.6
Jefferson County,529.67,32.2,13.9
Jenkins County,352.47,24,12.2
Johnson County,306.59,32.9,13.6
Jones County,395.42,72.8,29.7
Lamar County,185.83,99.8,40.7
Lanier County,199.79,54.4,22.9
Laurens County,818.47,60,26.5
Lee County,361.73,79.5,28.9
Liberty County,602.53,129.5,54.6
Lincoln County,257.3,38,22.7
Long County,403.81,36.1,15.1
Lowndes County,510.58,220.2,88.5
Lumpkin County,284.2,105.9,45.7
McDuffie County,266.39,85,36.2
McIntosh County,573.89,33.8,21.7
Macon County,405.99,36.8,15.3
Madison County,285.59,99.6,41.7
Marion County,367.48,23.9,11.4
Meriwether County,505.41,43.9,19.9
Miller County,283.66,21.7,9.9
Mitchell County,513.82,45.9,17.6
Monroe County,397.81,66.8,27.1
Montgomery County,244.69,38.1,16.4
Morgan County,354.62,51.4,21.5
Murray County,346.66,115,46.4
Muscogee County,221.01,877.5,382.1
Newton County,279.2,367.3,140.9
Oconee County,186.37,178,67.2
Oglethorpe County,442.04,33.9,14.8
Paulding County,314.34,455.8,167
Peach County,151.3,184.3,73.5
Pickens County,232.71,126.8,59
Pierce County,343.23,59.3,25.2
Pike County,219.4,82.7,31.6
Polk County,312.14,133.6,54.5
Pulaski County,251.21,48.2,20.7
Putnam County,360.69,61.6,37.2
Quitman County,160.56,16.6,13.5
Rabun County,376.88,44,33.3
Randolph County,430.87,18,9.7
Richmond County,328.59,618.4,266.2
Rockdale County,132.1,656.5,256.3
Schley County,167.82,30,13.2
Screven County,655.87,22.6,10.4
Seminole County,256.56,37.1,20.4
Spalding County,199.59,326.1,136.3
Stephens County,184.2,146.1,70.7
Stewart County,463.61,13.2,5.2
Sumter County,492.65,68,28.8
Talbot County,394.76,17.5,8.7
Taliaferro County,195.35,8.8,5.2
Tattnall County,488.35,53.2,20.8
Taylor County,379.7,23.6,12.1
Telfair County,444.01,37.7,16.7
Terrell County,337.7,27.8,12.2
Thomas County,552.22,82.1,37
Tift County,268.79,154.9,63.5
Toombs County,370.99,74.8,33.4
Towns County,171.98,62.9,46.4
Treutlen County,202.45,34.5,15
Troup County,445.96,161.9,67.7
Turner County,289.98,31.3,13.5
Twiggs County,362.63,25.2,11.8
Union County,329,66.3,43.6
Upson County,327.55,84,37.6
Walker County,447.03,154,67.4
Walton County,330,257.2,99.6
Ware County,907.99,40.7,18.3
Warren County,286.69,20.5,10.5
Washington County,684.36,31.2,13.3
Wayne County,648.8,46.9,19
Webster County,210.26,13.4,7.3
Wheeler County,300.27,25.1,8.9
White County,242.21,112.8,66.7
Whitfield County,291.05,353.2,137.4
Wilcox County,382.12,24.5,9.3
Wilkes County,474.09,22.6,11
Wilkinson County,451.95,21.4,10
Worth County,574.76,38,16.2
Hawaii,10931.72,211.8,80.9
Hawaii County,5086.13,45.9,20.4
Honolulu County,2128.07,1586.7,560.8
Kalawao County,52.83,7.5,9.4
Kauai County,1266.36,108.2,48.1
Maui County,2398.33,133.3,60.6
Idaho,83568.95,19,8.1
Ada County,1060.46,372.8,151.5
Adams County,1369.77,2.9,1.9
Bannock County,1147.43,74.5,29.8
Bear Lake County,1049.41,6.1,4
Benewah County,783.95,12,6
Bingham County,2120.41,21.8,7.7
Blaine County,2660.71,8.1,5.7
Boise County,1906.69,3.7,2.8
Bonner County,1919.5,23.6,14.2
Bonneville County,1900.64,55.9,21.3
Boundary County,1277.86,8.6,4.1
Butte County,2233.7,1.3,0.6
Camas County,1078.95,1,0.8
Canyon County,603.55,321.6,118.2
Caribou County,1798.57,3.9,1.8
Cassia County,2580.28,8.9,3.3
Clark County,1765.14,0.6,0.3
Clearwater County,2487.99,3.6,1.8
Custer County,4937.31,0.9,0.6
Elmore County,3100.75,8.8,4
Franklin County,668.34,19.3,6.8
Fremont County,1895.68,7.1,4.6
Gem County,565.71,29.8,12.7
Gooding County,733.72,21.2,8.4
Idaho County,8503.35,1.9,1
Jefferson County,1105.57,23.9,8
Jerome County,602.15,37.5,13.6
Kootenai County,1315.62,111.3,50.8
