City,State,id,Estimate!!Total,Estimate!!Total!!No vehicle available,Estimate!!Total!!1 vehicle available,Estimate!!Total!!2 vehicles available,Estimate!!Total!!3 or more vehicles available,"Estimate!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!No vehicle available","Estimate!!Total!!Car, truck, or van - drove alone!!1 vehicle available","Estimate!!Total!!Car, truck, or van - drove alone!!2 vehicles available","Estimate!!Total!!Car, truck, or van - drove alone!!3 or more vehicles available","Estimate!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!No vehicle available","Estimate!!Total!!Car, truck, or van - carpooled!!1 vehicle available","Estimate!!Total!!Car, truck, or van - carpooled!!2 vehicles available","Estimate!!Total!!Car, truck, or van - carpooled!!3 or more vehicles available",Estimate!!Total!!Public transportation (excluding taxicab),Estimate!!Total!!Public transportation (excluding taxicab)!!No vehicle available,Estimate!!Total!!Public transportation (excluding taxicab)!!1 vehicle available,Estimate!!Total!!Public transportation (excluding taxicab)!!2 vehicles available,Estimate!!Total!!Public transportation (excluding taxicab)!!3 or more vehicles available,Estimate!!Total!!Walked,Estimate!!Total!!Walked!!No vehicle available,Estimate!!Total!!Walked!!1 vehicle available,Estimate!!Total!!Walked!!2 vehicles available,Estimate!!Total!!Walked!!3 or more vehicles available,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!No vehicle available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!1 vehicle available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!2 vehicles available","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!3 or more vehicles available",Estimate!!Total!!Worked at home,Estimate!!Total!!Worked at home!!No vehicle available,Estimate!!Total!!Worked at home!!1 vehicle available,Estimate!!Total!!Worked at home!!2 vehicles available,Estimate!!Total!!Worked at home!!3 or more vehicles available
Long Beach, California,1600000US0643000,224890,9915,59794,88254,66927,173372,2827,43478,71348,55719,18416,1145,4889,6195,6187,12243,3826,3917,3177,1323,5310,653,1533,2394,730,4629,958,1793,1226,652,10920,506,4184,3914,2316
Los Angeles, California,1600000US0644000,1977779,117164,541287,731806,587522,1387388,18530,352170,555123,461565,181118,9192,47044,63263,61619,176821,58647,60086,36469,21619,57675,12327,21028,14276,10044,50406,10392,16733,13411,9870,124371,8076,44226,49264,22805
Lubbock, Texas,1600000US4845000,123675,2497,27675,58387,35116,101911,1364,20895,50154,29498,14646,413,4264,5795,4174,424,260,102,62,0,1863,400,405,667,391,1316,60,437,450,369,3515,0,1572,1259,684
Madison, Wisconsin,1600000US5548000,143967,10568,44099,63734,25566,89434,631,23166,46991,18646,13234,219,4040,6525,2450,13476,3380,6396,2634,1066,12492,4567,4857,1665,1403,8339,1450,2819,2848,1222,6992,321,2821,3071,779
Memphis, Tennessee,1600000US4748000,283663,10467,92494,107021,73681,236123,3788,77549,91999,62787,26196,2523,8350,7933,7390,4109,1889,1356,426,438,3891,795,1492,878,726,3750,1246,875,1020,609,9594,226,2872,4765,1731
Mesa, Arizona,1600000US0446000,232509,4919,54042,96462,77086,175507,1318,36824,77522,59843,28667,534,7247,10166,10720,3533,810,1839,240,644,3773,546,1700,1026,501,8329,1137,3057,2315,1820,12700,574,3375,5193,3558
Miami, Florida,1600000US1245025,49809,10419,20176,13525,5689,25021,340,11818,9297,3566,2628,232,1705,387,304,4506,2920,1206,274,106,4978,2351,1553,751,323,7081,3349,1923,949,860,5595,1227,1971,1867,530
Miami, Florida,1600000US1245000,220786,19405,88862,66565,45954,150573,2764,60903,51531,35375,19754,1017,6631,5857,6249,22219,9271,8608,2949,1391,7613,1898,4130,1014,571,6816,2396,2843,1159,418,13811,2059,5747,4055,1950
Milwaukee, Wisconsin,1600000US5553000,264306,22024,85821,105291,51170,195941,4774,62963,86986,41218,25674,2821,8247,8800,5806,18832,8945,5973,2739,1175,9863,3591,3249,1693,1330,4968,945,1954,1639,430,9028,948,3435,3434,1211
Minneapolis, Minnesota,1600000US2743000,238508,21121,76574,96578,44235,148402,2464,43810,70185,31943,16326,686,4850,7427,3363,30616,10304,11684,5647,2981,14400,3894,6492,2646,1368,14444,2691,4832,3851,3070,14320,1082,4906,6822,1510
